timestamp,field
20260516_145746,Red
20260516_145746,Red
20260516_145746,Red
20260516_145746,Red
20260516_145746,Red
20260516_145747,Red
20260516_145747,Red
20260516_145747,Red
20260516_145752,Red
20260516_145752,Red
20260516_145752,Red
20260516_145758,Red
20260516_145758,codpre_
20260516_145809,Red
20260516_145814,Red
20260516_145814,Red
20260516_145845,Red
20260516_145845,Red
20260516_145917,Red
20260516_145917,Red
20260516_150056,Red
20260516_150056,Red
