selector,text,role,aria_label
[role='option'],CENTRO,option,CENTRO
[role='option'],FARMACIA INST…,option,FARMACIA INSTITUCIONAL
[role='option'],HOSPITAL,option,HOSPITAL
[role='option'],INSTITUTO,option,INSTITUTO
[role='option'],PUESTO,option,PUESTO
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
label,Seleccionar fila,,
li,Permite mostrar los métodos abreviados de teclado.,,
li,Mostrar consejos para el lector de pantalla,,
li,Pasar al contenido principal,,
