codigo,medicamento,consumo_total_items,consumo_secundario_items
03920,HIDROCLOROTIAZIDA  12.5 mg TABLETA,231836,115370
10437,TUBO CAPILAR PARA HEMATOCRITO SIN HEPARINA   UNIDAD,320102,23433
11369,"JERINGA DESCARTABLE 20 mL CON AGUJA 21 G X 1 1/2""   UNIDAD",264361,65714
04168,ISONIAZIDA  100 mg TABLETA,261212,65945
06127,TIAMINA CLORHIDRATO  100 mg TABLETA,317868,6170
03234,ESTRADIOL CIPIONATO + MEDROXIPROGESTERONA ACETATO 0.5 mL 5 mg + 25 mg/0.5 mL INYECTABLE,162740,160416
00947,AZITROMICINA  500 mg TABLETA,190512,125709
02004,CLONAZEPAM  2 mg TABLETA,315375,430
05103,NITROFURANTOINA  100 mg TABLETA,156753,155364
00671,AMLODIPINO (COMO BESILATO)  10 mg TABLETA,187812,122554
37326,GORRO DE CIRUGIA TIPO GUSANO PARA ENFERMERA   UNIDAD,216987,85961
03536,FERROSO SULFATO 30 mL 25 mg de Fe/mL SOLUCION,175435,121955
31100,PRUEBA RAPIDA PARA VIH 1-2 y SIFILIS 1 DET  KIT,200058,97166
04594,MEDROXIPROGESTERONA ACETATO 1 mL 150 mg/mL INYECTABLE,160974,134553
05873,SODIO CLORURO 1 L 900 mg/100 mL (0.9 %) INYECTABLE,245218,47462
10436,TUBO CAPILAR PARA HEMATOCRITO CON HEPARINA - - UNIDAD,269800,22054
00269,ALBENDAZOL  200 mg TABLETA,90717,197755
31858,"JERINGA DESCARTABLE 1 mL CON AGUJA 25 G X 5/8"" RETRACTIL   UNIDAD",225734,58660
05309,PARACETAMOL 60 mL 120 mg/5 mL JARABE,157013,125389
02657,DEXAMETASONA  4 mg TABLETA,85300,194131
38082,LAMINA PORTA OBJETO BISELADA 25 mm X 75 mm   UNIDAD,243705,24985
02354,CLOTRIMAZOL  500 mg OVULO,129330,129989
16656,"JERINGA DESCARTABLE 1 mL CON AGUJA 25 G X 5/8""   UNIDAD",169766,89164
16571,GUANTE QUIRURGICO ESTERIL DESCARTABLE Nº 7 1/2   PAR,191834,66099
10148,"AGUJA HIPODERMICA DESCARTABLE N° 20 G X 1""   UNIDAD",208525,43380
18102,ETINILESTRADIOL + LEVONORGESTREL (BLISTER) 21 tab + 7 tab SIN EFEC 30 µg + 150 µg TABLETA,122717,121788
04677,METAMIZOL SODICO 2 mL 1 g INYECTABLE,193521,50036
39992,PRUEBA RAPIDA PARA HEPATITIS B 1 DET  KIT,155683,82718
10151,"AGUJA HIPODERMICA DESCARTABLE N° 21 G X 1 1/2""   UNIDAD",143963,93603
04024,IBUPROFENO 60 mL 100 mg/5 mL SUSPENSION,117287,107048
30978,VACUNA ANTINEUMOCOCICA CONJUGADA 13-VALENTE 1 DOSIS  INYECTABLE,132486,91702
30818,"AGUJA DENTAL TIPO CARPULE DESCARTABLE Nº 27 G X 1""   UNIDAD",218532,5339
10929,EQUIPO DE VENOCLISIS   UNIDAD,185601,36998
01684,CEFTRIAXONA SODICA  1 g INYECTABLE,188027,34011
35425,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIPROPILENO DE 5 mL CON GEL SEPARADOR   UNIDAD,187008,25893
02361,CLOZAPINA  100 mg TABLETA,211093,
33907,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIPROPILENO DE 6 mL SIN ADITIVO   UNIDAD,185837,22853
02641,DEXAMETASONA FOSFATO (COMO SAL SODICA) 1 mL 4 mg/mL INYECTABLE,140038,66579
03708,FURAZOLIDONA  100 mg TABLETA,66744,139859
02724,DEXTROMETORFANO BROMHIDRATO 120 mL 15 mg/5 mL JARABE,101339,93098
12520,TIRA REACTIVA PARA GLUCOSA EN SANGRE 1 DET  UNIDAD,112189,79227
05589,PREDNISONA  5 mg TABLETA,101279,88216
05166,ORFENADRINA CITRATO 2 mL 30 mg/mL INYECTABLE,138201,50327
45726,CRIOVIAL DE POLIPROPILENO 2.0 mL CON TAPA ROSCA FONDO PLANO GRADUADO   UNIDAD,167145,15232
00807,AMOXICILINA  250 mg TABLETA,25532,152895
02132,CLORFENAMINA MALEATO 120 mL 2 mg/5 mL JARABE,88284,88708
17734,"VACUNA DPT, HIB Y VHB (PENTAVALENTE) 1 DOSIS - INYECTABLE",108046,68264
03595,FLUCONAZOL  150 mg TABLETA,84064,90999
06396,VACUNA ANTIPOLIOMIELITICA 1 DOSIS 80 Lf/0.5 mL INYECTABLE,108751,65647
04585,MEBENDAZOL  100 mg TABLETA,64749,109199
00393,ALPRAZOLAM  500 µg (0.5 mg) TABLETA,160869,10284
16570,GUANTE QUIRURGICO ESTERIL DESCARTABLE Nº 7   PAR,115171,50098
