n_scenarios,expected_cost,std_cost,cv_cost,min_cost,max_cost,median_cost,expected_distance_km,expected_load_kg,service_level_mean,service_level_min,tw_violation_rate,tw_violations_mean,cap_violation_rate,cap_violations_mean,utilization_mean,utilization_std,route_reliability,VaR_0.01,CVaR_0.01,VaR_0.05,CVaR_0.05,VaR_0.1,CVaR_0.1,ci95_lower,ci95_upper,demand_cv,time_cv
100,5319.456326385037,305.3844134856918,0.05740895210868722,5088.8563263850365,6748.8563263850365,5193.8563263850365,2019.598757029099,16102.14,1.0,1.0,0.01,0.01,0.66,0.85,0.6440855999999999,0.0075686807727635055,0.33,6458.8563263850365,6603.8563263850365,5818.8563263850365,6170.5229930517025,5688.8563263850365,5967.9472354759455,5259.600981341841,5379.311671428232,0.1,0.1
100,5323.956326385037,303.4122443145629,0.05698999498002637,5088.8563263850365,6748.8563263850365,5203.8563263850365,2019.598757029099,16102.14,1.0,1.0,0.1,0.1,0.66,0.85,0.6440855999999999,0.0075686807727635055,0.3,6458.8563263850365,6603.8563263850365,5818.8563263850365,6170.5229930517025,5688.8563263850365,5967.9472354759455,5264.4875264993825,5383.425126270691,0.1,0.2
100,5333.456326385037,303.3592589653396,0.05687854936855806,5088.8563263850365,6748.8563263850365,5208.8563263850365,2019.598757029099,16102.14,1.0,1.0,0.27,0.29,0.66,0.85,0.6440855999999999,0.0075686807727635055,0.23,6458.8563263850365,6603.8563263850365,5818.8563263850365,6170.5229930517025,5688.8563263850365,5981.583599112309,5273.99791162783,5392.914741142244,0.1,0.3
100,6079.656326385038,844.1133573164211,0.1388422818660098,5088.8563263850365,9418.856326385037,5918.8563263850365,2019.598757029099,16076.45,1.0,1.0,0.01,0.01,0.88,1.53,0.643058,0.015159190875505194,0.12,8638.856326385037,9028.856326385037,7378.8563263850365,8143.856326385037,7118.8563263850365,7711.583599112309,5914.210108351019,6245.102544419056,0.2,0.1
100,6084.156326385038,842.2142898336505,0.13842745725997158,5088.8563263850365,9418.856326385037,5943.8563263850365,2019.598757029099,16076.45,1.0,1.0,0.1,0.1,0.88,1.53,0.643058,0.015159190875505194,0.12,8638.856326385037,9028.856326385037,7378.8563263850365,8143.856326385037,7118.8563263850365,7711.583599112309,5919.082325577642,6249.230327192433,0.2,0.2
100,6093.656326385038,841.0047324480405,0.13801315456642316,5088.8563263850365,9418.856326385037,5963.8563263850365,2019.598757029099,16076.45,1.0,1.0,0.27,0.29,0.88,1.53,0.643058,0.015159190875505194,0.09,8638.856326385037,9028.856326385037,7428.8563263850365,8160.522993051704,7118.8563263850365,7720.674508203218,5928.8193988252215,6258.493253944854,0.2,0.3
100,6950.256326385038,1398.3712096578652,0.20119707014966812,5088.8563263850365,12308.856326385037,6838.8563263850365,2019.598757029099,16052.0,1.0,1.0,0.01,0.01,0.93,1.83,0.64208,0.02269717303983031,0.07,10848.856326385037,11578.856326385037,9108.856326385037,10257.189659718371,8768.856326385037,9638.856326385037,6676.175569292096,7224.33708347798,0.3,0.1
100,6954.756326385038,1396.7047612147676,0.2008272749853122,5088.8563263850365,12308.856326385037,6858.8563263850365,2019.598757029099,16052.0,1.0,1.0,0.1,0.1,0.93,1.83,0.64208,0.02269717303983031,0.07,10848.856326385037,11578.856326385037,9108.856326385037,10257.189659718371,8768.856326385037,9638.856326385037,6681.002193186943,7228.510459583133,0.3,0.2
100,6964.256326385038,1395.0615900382322,0.2003173813050003,5088.8563263850365,12308.856326385037,6858.8563263850365,2019.598757029099,16052.0,1.0,1.0,0.27,0.29,0.93,1.83,0.64208,0.02269717303983031,0.05,10848.856326385037,11578.856326385037,9108.856326385037,10273.856326385037,8768.856326385037,9647.947235475947,6690.824254737545,7237.688398032531,0.3,0.3
100,7864.956326385038,1957.8038180573662,0.2489274875550682,5088.8563263850365,15318.856326385037,7668.8563263850365,2019.598757029099,16054.75,1.0,1.0,0.01,0.01,0.96,1.97,0.64219,0.030024497930856393,0.04,13038.856326385037,14178.856326385037,10778.856326385037,12415.522993051703,10458.856326385037,11604.310871839583,7481.226778045794,8248.685874724282,0.4,0.1
100,7869.456326385038,1956.3168557265976,0.24859618944289427,5088.8563263850365,15318.856326385037,7693.8563263850365,2019.598757029099,16054.75,1.0,1.0,0.1,0.1,0.96,1.97,0.64219,0.030024497930856393,0.04,13038.856326385037,14178.856326385037,10778.856326385037,12415.522993051703,10458.856326385037,11604.310871839583,7486.018222662625,8252.894430107452,0.4,0.2
100,7878.956326385038,1954.451071272955,0.2480596401744089,5088.8563263850365,15318.856326385037,7693.8563263850365,2019.598757029099,16054.75,1.0,1.0,0.27,0.29,0.96,1.97,0.64219,0.030024497930856393,0.03,13038.856326385037,14178.856326385037,10778.856326385037,12432.189659718371,10458.856326385037,11613.401780930491,7495.883916415539,8262.028736354538,0.4,0.3
