conversion,scale,feasible,n_routes,expected_cost,std_cost,cv_cost,reliability,cap_violation_rate,tw_violation_rate,CVaR_0.05,VaR_0.05,total_demand_kg,demand_capacity_ratio,utilization_mean,service_level,cap_excess_mean
5g,0.5,True,9,4971.985265936754,664.0424515797164,0.13355680197387038,0.55,0.45,0.0,6766.653447754937,6374.835265936756,8084.25,0.161685,0.48746242424242425,1.0,43.715
10g,1.0,True,10,8149.759240713337,2217.6403670342943,0.2721111509596187,0.065,0.935,0.1,13404.081967986065,11696.809240713337,16168.5,0.32337,0.6450434,1.0,304.77
20g,2.0,True,10,12232.2722575029,6128.9051222465505,0.5010438774764245,0.085,0.9,0.065,29396.085893866537,24009.7222575029,32337.0,0.64674,0.80732725,1.0,625.93
50g,5.0,True,16,31583.478167065026,14794.2184956658,0.4684163795200074,0.005,0.995,0.0,69628.10998524685,59669.92816706504,80842.5,1.61685,0.8980592999999999,0.6049382716049383,2738.355
