timestamp,url,territorial,where_count,literal_count,payload_file,response_file
20260516_171205_064519,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,2,1,analytics/lcc_export_pipeline\payloads\query_20260516_171205_064519.json,analytics/lcc_export_pipeline\responses\response_20260516_171205_064519.json
20260516_171205_070858,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171205_070858.json,analytics/lcc_export_pipeline\responses\response_20260516_171205_070858.json
20260516_171205_099833,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171205_099833.json,analytics/lcc_export_pipeline\responses\response_20260516_171205_099833.json
20260516_171205_102833,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171205_102833.json,analytics/lcc_export_pipeline\responses\response_20260516_171205_102833.json
20260516_171320_095159,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,2,1,analytics/lcc_export_pipeline\payloads\query_20260516_171320_095159.json,analytics/lcc_export_pipeline\responses\response_20260516_171320_095159.json
20260516_171320_113864,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171320_113864.json,analytics/lcc_export_pipeline\responses\response_20260516_171320_113864.json
20260516_171320_118865,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171320_118865.json,analytics/lcc_export_pipeline\responses\response_20260516_171320_118865.json
20260516_171320_395972,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,2,1,analytics/lcc_export_pipeline\payloads\query_20260516_171320_395972.json,analytics/lcc_export_pipeline\responses\response_20260516_171320_395972.json
20260516_171320_395972,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171320_395972.json,analytics/lcc_export_pipeline\responses\response_20260516_171320_395972.json
20260516_171320_410807,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171320_410807.json,analytics/lcc_export_pipeline\responses\response_20260516_171320_410807.json
20260516_171536_434272,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,2,1,analytics/lcc_export_pipeline\payloads\query_20260516_171536_434272.json,analytics/lcc_export_pipeline\responses\response_20260516_171536_434272.json
20260516_171536_443687,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,2,1,analytics/lcc_export_pipeline\payloads\query_20260516_171536_443687.json,analytics/lcc_export_pipeline\responses\response_20260516_171536_443687.json
20260516_171536_453172,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171536_453172.json,analytics/lcc_export_pipeline\responses\response_20260516_171536_453172.json
20260516_171536_460272,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171536_460272.json,analytics/lcc_export_pipeline\responses\response_20260516_171536_460272.json
20260516_171536_628748,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171536_628748.json,analytics/lcc_export_pipeline\responses\response_20260516_171536_628748.json
20260516_171536_701451,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171536_701451.json,analytics/lcc_export_pipeline\responses\response_20260516_171536_701451.json
20260516_171637_522322,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,2,analytics/lcc_export_pipeline\payloads\query_20260516_171637_522322.json,analytics/lcc_export_pipeline\responses\response_20260516_171637_522322.json
