timestamp,literal
20260516_171034_756694,Red
20260516_171034_756694,'NORTE'
20260516_171047_151304,'NORTE'
20260516_171047_151304,'NORTE'
20260516_171047_151304,'NORTE'
20260516_171047_158173,'NORTE'
20260516_171047_158173,'NORTE'
20260516_171049_252184,'NORTE'
20260516_171059_269746,'NORTE'
20260516_171134_934622,'NORTE'
20260516_171134_988050,'NORTE'
20260516_171134_992050,'NORTE'
20260516_171135_093427,'NORTE'
20260516_171135_155250,'NORTE'
20260516_171135_216154,'NORTE'
20260516_171205_051911,'NORTE'
20260516_171205_055911,'NORTE'
20260516_171205_064519,'NORTE'
20260516_171205_070858,'NORTE'
20260516_171205_099833,'NORTE'
20260516_171205_102833,'NORTE'
20260516_171320_095159,'NORTE'
20260516_171320_113864,'NORTE'
20260516_171320_118865,'NORTE'
20260516_171320_395972,'NORTE'
20260516_171320_395972,'NORTE'
20260516_171320_410807,'NORTE'
20260516_171536_434272,'NORTE'
20260516_171536_443687,'NORTE'
20260516_171536_453172,'NORTE'
20260516_171536_460272,'NORTE'
20260516_171536_628748,'NORTE'
20260516_171536_701451,'NORTE'
20260516_171637_522322,'NORTE'
