slicer_id,selector,text_preview,role,aria_label,aria_expanded,data_testid,class,children,clickables,virtual_scroll,react_detected,options_detected,sample_options,html_file,screenshot_file
1,.visualContainer,"Establecimiento
Todas",group,Establecimiento ,,,visualContainer unselectable readMode hideBorder visualHeaderAbove droppableElement ui-droppable,6,28,False,False,26,"Permite mostrar los métodos abreviados de teclado. | Permite mostrar los métodos abreviados de teclado. | Mostrar consejos para el lector de pantalla | Pasar al contenido principal | Pasar al contenido principal | CONSUMO HISTÓRICO DE PRODUCTOS FARMACÉUTICOS, DISPOSITIVOS MÉDICOS Y PRODUCTOS SANITARIOS | CENTRO | FARMACIA INST… | HOSPITAL | INSTITUTO | PUESTO | GESTIÓN DE INFORMACIÓN SISMED- EAM/DFAU/DIGEMID/DVMSP/MINSA | Microsoft Power BI | 1de1 | 1 | de | 1 | Tabla | BOT. FARMAJUNIN TARMA - JUNIN | C.M.I. BUENOS AIRES DE VILLA",analytics/slicer_dom_inspection\html\slicer_1.html,analytics/slicer_dom_inspection\screenshots\slicer_1.png
2,.visualContainer,Tabla det. 2 (DISA),link,Marcador . Mostrar tabla,,,visualContainer unselectable readMode hideBorder paddingDisabled noVisualTitle visualHeaderAbove droppableElement ui-droppable,6,22,False,False,26,"Permite mostrar los métodos abreviados de teclado. | Permite mostrar los métodos abreviados de teclado. | Mostrar consejos para el lector de pantalla | Pasar al contenido principal | Pasar al contenido principal | CONSUMO HISTÓRICO DE PRODUCTOS FARMACÉUTICOS, DISPOSITIVOS MÉDICOS Y PRODUCTOS SANITARIOS | CENTRO | FARMACIA INST… | HOSPITAL | INSTITUTO | PUESTO | GESTIÓN DE INFORMACIÓN SISMED- EAM/DFAU/DIGEMID/DVMSP/MINSA | Microsoft Power BI | 1de1 | 1 | de | 1 | Tabla | BOT. FARMAJUNIN TARMA - JUNIN | C.M.I. BUENOS AIRES DE VILLA",analytics/slicer_dom_inspection\html\slicer_2.html,analytics/slicer_dom_inspection\screenshots\slicer_2.png
