responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority,geocode_query_used,geocode_attempts,geocode_provider,geocode_timestamp,geocode_display_name,geocode_type,geocode_importance,geocode_bbox,lat_round,lon_round
,OTROS CASERIO SAMANGUILLA - AYABACA CASERIO SAMANGUILLA - AYABACA AYABACA AYABACA PIURA,,1927,,,AYABACA,,1869,,,,,,PIURA,,1927,PUESTO DE SALUD SAMANGUILLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAMANGUILLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO SAMANGUILLA - AYABACA CASERIO SAMANGUILLA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:07.247723,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO CHARAN - AYABACA CASERIO CHARAN - AYABACA AYABACA AYABACA PIURA,,1928,,,AYABACA,,1870,,,,,,PIURA,,1928,PUESTO DE SALUD CHARAN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHARAN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHARAN - AYABACA CASERIO CHARAN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:12.944336,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO LAGUNAS DE CANGLY CASERIO LAGUNAS DE CANGLY AYABACA AYABACA PIURA,,1929,,,AYABACA,,1871,,,,,,PIURA,,1929,PUESTO DE SALUD LAGUNAS DE CANGLY,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD LAGUNAS DE CANGLY, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO LAGUNAS DE CANGLY CASERIO LAGUNAS DE CANGLY AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:18.366432,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO PORTACHUELO YANTA - AYABACA CASERIO PORTACHUELO YANTA - AYABACA AYABACA AYABACA PIURA,,1930,,,AYABACA,,1872,,,,,,PIURA,,1930,PUESTO DE SALUD PORTACHUELO DE YANTA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PORTACHUELO DE YANTA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO PORTACHUELO YANTA - AYABACA CASERIO PORTACHUELO YANTA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:23.704411,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERÍO GICLAS - AYABACA CASERÍO GICLAS - AYABACA AYABACA AYABACA PIURA,,1931,,,AYABACA,,1873,,,,,,PIURA,,1931,PUESTO DE SALUD GICLAS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD GICLAS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERÍO GICLAS - AYABACA CASERÍO GICLAS - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:29.081082,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO POTRERILO LAS LOMAS CASERIO POTRERILO LAS LOMAS LAS LOMAS PIURA PIURA,,1933,,,PIURA,,1875,,,,,,PIURA,,1933,PUESTO DE SALUD POTRERILLO,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD POTRERILLO, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO POTRERILO LAS LOMAS CASERIO POTRERILO LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7076581,-80.1040871,NOMINATIM,LOW,FALLBACK,SUCCESS,,PRIMARY,"LAS LOMAS, PIURA, PIURA, PERU",3,NOMINATIM,2026-05-16T03:01:40.812317,"Las Lomas, Piura, Perú",administrative,0.3504960478298851,"['-4.8305878', '-4.5851075', '-80.3711757', '-80.0084531']",-4.70766,-80.10409
,OTROS CASERÍO EL SAUCE - LAS LOMAS CASERÍO EL SAUCE - LAS LOMAS LAS LOMAS PIURA PIURA,,1935,,,PIURA,,1877,,,,,,PIURA,,1935,PUESTO DE SALUD EL SAUCE-LAS LOMAS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD EL SAUCE-LAS LOMAS, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERÍO EL SAUCE - LAS LOMAS CASERÍO EL SAUCE - LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7076581,-80.1040871,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"LAS LOMAS, PIURA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:49.292577,"Las Lomas, Piura, Perú",administrative,0.3504960478298851,"['-4.8305878', '-4.5851075', '-80.3711757', '-80.0084531']",-4.70766,-80.10409
,OTROS CASERIO PELINGARA LAS LOMAS CASERIO PELINGARA LAS LOMAS LAS LOMAS PIURA PIURA,,1937,,,PIURA,,1879,,,,,,PIURA,,1937,PUESTO DE SALUD PELINGARA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PELINGARA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO PELINGARA LAS LOMAS CASERIO PELINGARA LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7076581,-80.1040871,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"LAS LOMAS, PIURA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:56.462290,"Las Lomas, Piura, Perú",administrative,0.3504960478298851,"['-4.8305878', '-4.5851075', '-80.3711757', '-80.0084531']",-4.70766,-80.10409
,OTROS CASERIO HUACHUMA ALTA - LAS LOMAS CASERIO HUACHUMA ALTA - LAS LOMAS LAS LOMAS PIURA PIURA,,1938,,,PIURA,,1880,,,,,,PIURA,,1938,PUESTO DE SALUD HUACHUMA ALTA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUACHUMA ALTA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO HUACHUMA ALTA - LAS LOMAS CASERIO HUACHUMA ALTA - LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7076581,-80.1040871,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"LAS LOMAS, PIURA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:02:01.562700,"Las Lomas, Piura, Perú",administrative,0.3504960478298851,"['-4.8305878', '-4.5851075', '-80.3711757', '-80.0084531']",-4.70766,-80.10409
,OTROS CASERIO SANTA ELENA - LAS LOMAS CASERIO SANTA ELENA - LAS LOMAS LAS LOMAS PIURA PIURA,,1940,,,PIURA,,1882,,,,,,PIURA,,1940,PUESTO DE SALUD SANTA ELENA - LAS LOMAS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SANTA ELENA - LAS LOMAS, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO SANTA ELENA - LAS LOMAS CASERIO SANTA ELENA - LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7076581,-80.1040871,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"LAS LOMAS, PIURA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:02:10.847479,"Las Lomas, Piura, Perú",administrative,0.3504960478298851,"['-4.8305878', '-4.5851075', '-80.3711757', '-80.0084531']",-4.70766,-80.10409
