responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority
,OTROS CASERIO REMOLINOS- AYABACA CASERIO REMOLINOS- AYABACA AYABACA AYABACA PIURA,,1921,,,AYABACA,,1863,,,,,,PIURA,,1921,PUESTO DE SALUD REMOLINOS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD REMOLINOS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO REMOLINOS- AYABACA CASERIO REMOLINOS- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO ANDURCO CASERIO ANDURCO AYABACA AYABACA PIURA,,1922,,,AYABACA,,1864,,,,,,PIURA,,1922,PUESTO DE SALUD ANDURCO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ANDURCO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ANDURCO CASERIO ANDURCO AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO HUIRIQUINGUE- AYABACA CASERIO HUIRIQUINGUE- AYABACA AYABACA AYABACA PIURA,,1923,,,AYABACA,,1865,,,,,,PIURA,,1923,PUESTO DE SALUD HUIRIQUINGUE,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUIRIQUINGUE, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO HUIRIQUINGUE- AYABACA CASERIO HUIRIQUINGUE- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO HUACHUMA - AYABACA CASERIO HUACHUMA - AYABACA AYABACA AYABACA PIURA,,1924,,,AYABACA,,1866,,,,,,PIURA,,1924,PUESTO DE SALUD HUACHUMA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUACHUMA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO HUACHUMA - AYABACA CASERIO HUACHUMA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO SAUSAL - AYABACA CASERIO SAUSAL - AYABACA AYABACA AYABACA PIURA,,1925,,,AYABACA,,1867,,,,,,PIURA,,1925,PUESTO DE SALUD SAUSAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAUSAL, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO SAUSAL - AYABACA CASERIO SAUSAL - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO EL TOLDO CASERIO EL TOLDO AYABACA AYABACA PIURA,,1926,,,AYABACA,,1868,,,,,,PIURA,,1926,PUESTO DE SALUD EL TOLDO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD EL TOLDO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO EL TOLDO CASERIO EL TOLDO AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO SAMANGUILLA - AYABACA CASERIO SAMANGUILLA - AYABACA AYABACA AYABACA PIURA,,1927,,,AYABACA,,1869,,,,,,PIURA,,1927,PUESTO DE SALUD SAMANGUILLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAMANGUILLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO SAMANGUILLA - AYABACA CASERIO SAMANGUILLA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO CHARAN - AYABACA CASERIO CHARAN - AYABACA AYABACA AYABACA PIURA,,1928,,,AYABACA,,1870,,,,,,PIURA,,1928,PUESTO DE SALUD CHARAN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHARAN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHARAN - AYABACA CASERIO CHARAN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO LAGUNAS DE CANGLY CASERIO LAGUNAS DE CANGLY AYABACA AYABACA PIURA,,1929,,,AYABACA,,1871,,,,,,PIURA,,1929,PUESTO DE SALUD LAGUNAS DE CANGLY,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD LAGUNAS DE CANGLY, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO LAGUNAS DE CANGLY CASERIO LAGUNAS DE CANGLY AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO PORTACHUELO YANTA - AYABACA CASERIO PORTACHUELO YANTA - AYABACA AYABACA AYABACA PIURA,,1930,,,AYABACA,,1872,,,,,,PIURA,,1930,PUESTO DE SALUD PORTACHUELO DE YANTA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PORTACHUELO DE YANTA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO PORTACHUELO YANTA - AYABACA CASERIO PORTACHUELO YANTA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERÍO GICLAS - AYABACA CASERÍO GICLAS - AYABACA AYABACA AYABACA PIURA,,1931,,,AYABACA,,1873,,,,,,PIURA,,1931,PUESTO DE SALUD GICLAS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD GICLAS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERÍO GICLAS - AYABACA CASERÍO GICLAS - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,JIRÓN JR. CUZCO S/N BARRIO JUAN VELASCO A. S/N JR. CUZCO S/N BARRIO JUAN VELASCO A. LAS LOMAS PIURA PIURA,,1932,,,PIURA,,1874,,,,,,PIURA,,1932,CENTRO DE SALUD LAS LOMAS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD LAS LOMAS, LAS LOMAS, PIURA, PIURA, PERU","JIRÓN JR. CUZCO S/N BARRIO JUAN VELASCO A. S/N JR. CUZCO S/N BARRIO JUAN VELASCO A. LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO POTRERILO LAS LOMAS CASERIO POTRERILO LAS LOMAS LAS LOMAS PIURA PIURA,,1933,,,PIURA,,1875,,,,,,PIURA,,1933,PUESTO DE SALUD POTRERILLO,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD POTRERILLO, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO POTRERILO LAS LOMAS CASERIO POTRERILO LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO CHIPILLICO CASERIO CHIPILLICO LAS LOMAS PIURA PIURA,,1934,,,PIURA,,1876,,,,,,PIURA,,1934,PUESTO DE SALUD CHIPILLICO,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHIPILLICO, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO CHIPILLICO CASERIO CHIPILLICO LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
