responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority,geocode_query_used,geocode_attempts,geocode_provider,geocode_timestamp,geocode_display_name,geocode_type,geocode_importance,geocode_bbox,lat_round,lon_round
,OTROS CASERIO GARABATO LAS LOMAS CASERIO GARABATO LAS LOMAS LAS LOMAS PIURA PIURA,,1942,,,PIURA,,1884,,,,,,PIURA,,1942,PUESTO DE SALUD GARABATOS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD GARABATOS, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO GARABATO LAS LOMAS CASERIO GARABATO LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7089581,-80.0824258,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD GARABATOS, LAS LOMAS, PIURA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:02:18.948597,"Puesto de Salud Garabatos, PI-533, Jahuay, La Higueria, La Menta, Las Lomas, Piura, Perú",doctors,3.897077897302232e-05,"['-4.7090081', '-4.7089081', '-80.0824758', '-80.0823758']",-4.70896,-80.08243
,OTROS CENTRO SERVICIOS PARTIDOR CENTRO SERVICIOS PARTIDOR LAS LOMAS PIURA PIURA,,1943,,,PIURA,,1885,,,,,,PIURA,,1943,CENTRO DE SALUD EL PARTIDOR,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD EL PARTIDOR, LAS LOMAS, PIURA, PIURA, PERU","OTROS CENTRO SERVICIOS PARTIDOR CENTRO SERVICIOS PARTIDOR LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7309471,-80.2796964,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD EL PARTIDOR, LAS LOMAS, PIURA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:02:21.597037,"El Partidor, PI-609, Barrio Libre, Las Mercedes, Cp04 Yuscay, Las Lomas, Piura, Perú",clinic,3.897077897302232e-05,"['-4.7309971', '-4.7308971', '-80.2797464', '-80.2796464']",-4.73095,-80.2797
,OTROS COMUNIDAD LA MENTA COMUNIDAD LA MENTA LAS LOMAS PIURA PIURA,,1944,,,PIURA,,1886,,,,,,PIURA,,1944,PUESTO SALUD LA MENTA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO SALUD LA MENTA, LAS LOMAS, PIURA, PIURA, PERU","OTROS COMUNIDAD LA MENTA COMUNIDAD LA MENTA LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7190508,-80.0971652,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO SALUD LA MENTA, LAS LOMAS, PIURA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:02:24.490698,"Puesto de Salud La Menta, PI-533, Jahuay, La Higueria, La Menta, Las Lomas, Piura, Perú",doctors,3.897077897302232e-05,"['-4.7191008', '-4.7190008', '-80.0972152', '-80.0971152']",-4.71905,-80.09717
,JIRÓN JR. GUEPI- S/N - SUYO S/N JR. GUEPI- S/N - SUYO SUYO AYABACA PIURA,,1945,,,AYABACA,,1887,,,,,,PIURA,,1945,CENTRO DE SALUD SUYO,,SUYO,200210,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD SUYO, SUYO, AYABACA, PIURA, PERU","JIRÓN JR. GUEPI- S/N - SUYO S/N JR. GUEPI- S/N - SUYO SUYO AYABACA PIURA, SUYO, AYABACA, PIURA, PERU","SUYO, AYABACA, PIURA, PERU",-4.5144784,-80.0023272,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD SUYO, SUYO, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:02:27.244608,"Establecimiento de Salud Suyo, Jirón Guepi, El Pastor, Suyo, Ayabaca, Piura, Perú",clinic,3.929732204161162e-05,"['-4.5146832', '-4.5139396', '-80.0027120', '-80.0020142']",-4.51448,-80.00233
,OTROS CASERIO SANTA ANA DE QUIROZ- SUYO CASERIO SANTA ANA DE QUIROZ- SUYO SUYO AYABACA PIURA,,1953,,,AYABACA,,1895,,,,,,PIURA,,1953,PUESTO DE SALUD SANTA ANA DE QUIROZ,,SUYO,200210,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SANTA ANA DE QUIROZ, SUYO, AYABACA, PIURA, PERU","OTROS CASERIO SANTA ANA DE QUIROZ- SUYO CASERIO SANTA ANA DE QUIROZ- SUYO SUYO AYABACA PIURA, SUYO, AYABACA, PIURA, PERU","SUYO, AYABACA, PIURA, PERU",-4.5459096,-80.0738269,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD SANTA ANA DE QUIROZ, SUYO, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:03:16.981748,"Puesto de Salud Santa Ana de Quiroz, PE-1NL, Santa Ana de Quirós, Suyo, Ayabaca, Piura, Perú",clinic,3.929732204161162e-05,"['-4.5459653', '-4.5458560', '-80.0738836', '-80.0737703']",-4.54591,-80.07383
,CALLE CALLE LA ARENA S/N. SAPILLLICA S/N CALLE LA ARENA S/N. SAPILLLICA SAPILLICA AYABACA PIURA,,1955,,,AYABACA,,1897,,,,,,PIURA,,1955,CENTRO DE SALUD SAPILLICA,,SAPILLICA,200208,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD SAPILLICA, SAPILLICA, AYABACA, PIURA, PERU","CALLE CALLE LA ARENA S/N. SAPILLLICA S/N CALLE LA ARENA S/N. SAPILLLICA SAPILLICA AYABACA PIURA, SAPILLICA, AYABACA, PIURA, PERU","SAPILLICA, AYABACA, PIURA, PERU",-4.7755217,-79.9819419,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD SAPILLICA, SAPILLICA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:03:25.122633,"Establecimiento de Salud Sapillica, Avenida Ernesto Merino, Nueva Esperanza, Sapillica, Ayabaca, Piura, Perú",clinic,4.0000762951049326e-05,"['-4.7758091', '-4.7752558', '-79.9822331', '-79.9816591']",-4.77552,-79.98194
,AVENIDA AV.FERNANDO BELAUNDE S/N PAIMAS S/N AV.FERNANDO BELAUNDE S/N PAIMAS PAIMAS AYABACA PIURA,,1959,,,AYABACA,,1901,,,,,,PIURA,,1959,CENTRO DE SALUD PAIMAS,,PAIMAS,200207,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD PAIMAS, PAIMAS, AYABACA, PIURA, PERU","AVENIDA AV.FERNANDO BELAUNDE S/N PAIMAS S/N AV.FERNANDO BELAUNDE S/N PAIMAS PAIMAS AYABACA PIURA, PAIMAS, AYABACA, PIURA, PERU","PAIMAS, AYABACA, PIURA, PERU",-4.6248621,-79.9474502,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD PAIMAS, PAIMAS, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:03:46.974660,"Establecimiento de Salud Paimas, Avenida Belaúnde Terry, Paimitas, Paimas, Ayabaca, Piura, Perú",clinic,4.0000762951049326e-05,"['-4.6250879', '-4.6246842', '-79.9476970', '-79.9472067']",-4.62486,-79.94745
,CALLE CALLE MIRAMAR S/N- DISTRITO DE JILILI S/N CALLE MIRAMAR S/N- DISTRITO DE JILILI JILILI AYABACA PIURA,,1962,,,AYABACA,,1904,,,,,,PIURA,,1962,CENTRO DE SALUD JILILI,,JILILI,200203,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD JILILI, JILILI, AYABACA, PIURA, PERU","CALLE CALLE MIRAMAR S/N- DISTRITO DE JILILI S/N CALLE MIRAMAR S/N- DISTRITO DE JILILI JILILI AYABACA PIURA, JILILI, AYABACA, PIURA, PERU","JILILI, AYABACA, PIURA, PERU",-4.5839372,-79.7979262,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD JILILI, JILILI, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:04:09.962554,"Jilili, Calle Miramar, Miramar, Jililí, Ayabaca, Piura, Perú",clinic,4.0000762951049326e-05,"['-4.5839872', '-4.5838872', '-79.7979762', '-79.7978762']",-4.58394,-79.79793
,OTROS CASERIO LAGUNAS S/N S/N CASERIO LAGUNAS S/N LAGUNAS AYABACA PIURA,,1965,,,AYABACA,,1907,,,,,,PIURA,,1965,CENTRO DE SALUD LAGUNAS,,LAGUNAS,200204,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD LAGUNAS, LAGUNAS, AYABACA, PIURA, PERU","OTROS CASERIO LAGUNAS S/N S/N CASERIO LAGUNAS S/N LAGUNAS AYABACA PIURA, LAGUNAS, AYABACA, PIURA, PERU","LAGUNAS, AYABACA, PIURA, PERU",-4.7893312,-79.8447552,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD LAGUNAS, LAGUNAS, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:04:23.114323,"Lagunas, PI-538, Yapango Bajo, Lagunas, Ayabaca, Piura, Perú",clinic,4.0000762951049326e-05,"['-4.7893812', '-4.7892812', '-79.8448052', '-79.8447052']",-4.78933,-79.84476
,JIRÓN JR. PIURA S/N MONTERO S/N JR. PIURA S/N MONTERO MONTERO AYABACA PIURA,,1970,,,AYABACA,,1912,,,,,,PIURA,,1970,CENTRO DE SALUD MONTERO,,MONTERO,200205,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD MONTERO, MONTERO, AYABACA, PIURA, PERU","JIRÓN JR. PIURA S/N MONTERO S/N JR. PIURA S/N MONTERO MONTERO AYABACA PIURA, MONTERO, AYABACA, PIURA, PERU","MONTERO, AYABACA, PIURA, PERU",-4.6297071,-79.8247958,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD MONTERO, MONTERO, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:04:50.604387,"Montero, PI-635, Montero, Ayabaca, Piura, Perú",clinic,4.0000762951049326e-05,"['-4.6298421', '-4.6295566', '-79.8249987', '-79.8245911']",-4.62971,-79.8248
