responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority,geocode_query_used,geocode_attempts,geocode_provider,geocode_timestamp,geocode_display_name,geocode_type,geocode_importance,geocode_bbox
,OTROS CASERIO REMOLINOS- AYABACA CASERIO REMOLINOS- AYABACA AYABACA AYABACA PIURA,,1921,,,AYABACA,,1863,,,,,,PIURA,,1921,PUESTO DE SALUD REMOLINOS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD REMOLINOS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO REMOLINOS- AYABACA CASERIO REMOLINOS- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.4917343,-79.5851453,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD REMOLINOS, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:38.187630,"Puesto de Salud Remolinos, PI-668, Remolinos, Distrito de Ayabaca, Ayabaca, Piura, Perú",yes,3.500190737769158e-05,"['-4.4918388', '-4.4916330', '-79.5852338', '-79.5850551']"
,OTROS CASERIO ANDURCO CASERIO ANDURCO AYABACA AYABACA PIURA,,1922,,,AYABACA,,1864,,,,,,PIURA,,1922,PUESTO DE SALUD ANDURCO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ANDURCO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ANDURCO CASERIO ANDURCO AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:44.022509,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO HUIRIQUINGUE- AYABACA CASERIO HUIRIQUINGUE- AYABACA AYABACA AYABACA PIURA,,1923,,,AYABACA,,1865,,,,,,PIURA,,1923,PUESTO DE SALUD HUIRIQUINGUE,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUIRIQUINGUE, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO HUIRIQUINGUE- AYABACA CASERIO HUIRIQUINGUE- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.5649483,-79.6841993,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD HUIRIQUINGUE, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:46.970207,"Puesto de Salud Joras, PI-655, Sochabamba, Huiriquingue, Distrito de Ayabaca, Ayabaca, Piura, Perú",doctors,3.750133516437045e-05,"['-4.5649983', '-4.5648983', '-79.6842493', '-79.6841493']"
,OTROS CASERIO HUACHUMA - AYABACA CASERIO HUACHUMA - AYABACA AYABACA AYABACA PIURA,,1924,,,AYABACA,,1866,,,,,,PIURA,,1924,PUESTO DE SALUD HUACHUMA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUACHUMA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO HUACHUMA - AYABACA CASERIO HUACHUMA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:53.347302,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO SAUSAL - AYABACA CASERIO SAUSAL - AYABACA AYABACA AYABACA PIURA,,1925,,,AYABACA,,1867,,,,,,PIURA,,1925,PUESTO DE SALUD SAUSAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAUSAL, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO SAUSAL - AYABACA CASERIO SAUSAL - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:59.124850,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO EL TOLDO CASERIO EL TOLDO AYABACA AYABACA PIURA,,1926,,,AYABACA,,1868,,,,,,PIURA,,1926,PUESTO DE SALUD EL TOLDO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD EL TOLDO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO EL TOLDO CASERIO EL TOLDO AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6151437,-79.4995409,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD EL TOLDO, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:01:01.752403,"Puesto de Salud Huilco, PI-677, Union Alta, El Toldo, Distrito de Ayabaca, Ayabaca, Piura, Perú",doctors,3.750133516437045e-05,"['-4.6151937', '-4.6150937', '-79.4995909', '-79.4994909']"
,OTROS CASERIO SAMANGUILLA - AYABACA CASERIO SAMANGUILLA - AYABACA AYABACA AYABACA PIURA,,1927,,,AYABACA,,1869,,,,,,PIURA,,1927,PUESTO DE SALUD SAMANGUILLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAMANGUILLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO SAMANGUILLA - AYABACA CASERIO SAMANGUILLA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:07.247723,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO CHARAN - AYABACA CASERIO CHARAN - AYABACA AYABACA AYABACA PIURA,,1928,,,AYABACA,,1870,,,,,,PIURA,,1928,PUESTO DE SALUD CHARAN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHARAN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHARAN - AYABACA CASERIO CHARAN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:12.944336,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO LAGUNAS DE CANGLY CASERIO LAGUNAS DE CANGLY AYABACA AYABACA PIURA,,1929,,,AYABACA,,1871,,,,,,PIURA,,1929,PUESTO DE SALUD LAGUNAS DE CANGLY,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD LAGUNAS DE CANGLY, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO LAGUNAS DE CANGLY CASERIO LAGUNAS DE CANGLY AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:18.366432,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO PORTACHUELO YANTA - AYABACA CASERIO PORTACHUELO YANTA - AYABACA AYABACA AYABACA PIURA,,1930,,,AYABACA,,1872,,,,,,PIURA,,1930,PUESTO DE SALUD PORTACHUELO DE YANTA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PORTACHUELO DE YANTA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO PORTACHUELO YANTA - AYABACA CASERIO PORTACHUELO YANTA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:01:23.704411,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
